target,source,time
36029008500i1072,36029009107i665,24
36029008600i390,36029008300i900,24
36029008600i3219,36029008300i900,24
36029009501i3634,36029009501i3489,24
36029009702i2506,36029011200i2312,24
36029009800i1609,36029009800i1108,24
36029010901i2050,36029010901i1066,24
36029011200i2312,36029011200i2020,24
36029011800i2788,36029004900i1166,24
36029013501i415,36029011800i2788,24
36029014209i2159,36029015202i2918,24
36029014501i1188,36029014501i1102,24
36029014501i2989,36029014501i1188,24
36029014603i1784,36029013501i415,24
36029015102i2447,36029015102i1129,24
36029015201i1120,36029015201i759,24
36029015202i3236,36029015202i3326,24
36029015202i4518,36029015202i1177,24
36029015202i4883,36029015202i1273,24
36029015700i2787,36029015700i2789,24
36029003700i2953,36029004001i3572,25
36029005100i558,36029004900i3540,25
36029005802i3654,36029009004i2328,25
36029006302i2453,36029000700i348,25
36029007302i702,36029007700i3172,25
36029008300i558,36029008300i1158,25
36029008300i560,36029008300i1170,25
36029008300i872,36029008300i843,25
36029008400i1065,36029008300i942,25
36029008500i1367,36029008500i1072,25
36029008900i1741,36029003100i1407,25
36029009004i2328,36029008003i4050,25
36029009007i7633,36029003100i1410,25
36029009114i482,36029008900i1741,25
36029009702i3707,36029009702i2506,25
36029010600i1356,36029010600i1196,25
36029010807i4212,36029014603i1125,25
36029010807i4215,36029010807i4212,25
36029010901i1053,36029010901i1066,25
36029010901i2063,36029010901i2050,25
36029013702i4250,36029013702i4150,25
36029014209i3897,36029010804i288,25
36029014501i715,36029014501i2989,25
36029014603i1125,36029011800i2788,25
36029014603i1757,36029014603i1125,25
36029015102i1045,36029015102i2447,25
36029015201i691,36029015201i1119,25
36029015201i1119,36029015201i1120,25
36029015202i1836,36029015202i1818,25
36029015202i2048,36029015202i4518,25
36029015202i2419,36029015202i2430,25
36029015202i2424,36029015202i2430,25
36029015202i4495,36029015202i2419,25
36029015302i2396,36029015302i1073,25
36029015401i736,36029015401i2621,25
36029015700i2303,36029015700i3476,25
36029000200i3347,36029000800i2404,26
36029000800i1416,36029000800i2402,26
36029000800i2402,36029000800i2404,26
36029001000i294,36029013501i415,26
36029001402i882,36029001402i3054,26
36029001500i1316,36029015202i2048,26
36029003800i2217,36029003800i1560,26
36029003800i2401,36029003800i1560,26
36029004001i691,36029016800i635,26
36029004001i3460,36029004001i515,26
36029004500i3602,36029006302i1713,26
36029007202i145,36029014209i3897,26
36029007902i1339,36029004001i3460,26
36029007902i3459,36029007700i3492,26
36029008002i5251,36029008002i5064,26
36029008300i969,36029008300i1158,26
36029008400i740,36029008400i2204,26
36029008400i2204,36029008400i1065,26
36029010102i1580,36029010600i1356,26
36029010808i3109,36029010808i3106,26
36029013002i2326,36029011000i339,26
36029013102i5176,36029013102i5181,26
36029013102i5181,36029013102i3111,26
36029013502i227,36029013502i392,26
36029014102i5004,36029014501i715,26
36029014208i2845,36029007700i3492,26
36029014400i2906,36029014400i4048,26
36029014400i3989,36029007302i702,26
36029014400i4048,36029013702i4150,26
36029014501i1112,36029014501i1102,26
36029014501i1190,36029014501i1188,26
36029014603i1753,36029014603i1757,26
36029014603i3947,36029015202i1484,26
36029014604i2104,36029014604i2994,26
36029014604i2994,36029014603i1753,26
36029014701i2837,36029014701i2899,26
36029014801i2143,36029014701i2899,26
36029014903i5852,36029010808i3116,26
36029015102i2471,36029015102i1045,26
36029015201i1964,36029015201i1975,26
36029015201i2703,36029015202i1766,26
36029015202i1484,36029015202i2419,26
36029015202i1766,36029015202i4883,26
36029015301i62,36029015301i317,26
36029015301i3674,36029015301i1918,26
36029015301i4371,36029015301i1918,26
36029015401i2075,36029015401i2621,26
36029015401i2082,36029015401i2075,26
36029016200i520,36029015102i2471,26
36029016800i635,36029006302i1713,26
36029000800i1863,36029000800i2404,27
36029000800i2335,36029000800i2353,27
36029000800i2353,36029000800i2402,27
36029001402i2701,36029001402i882,27
36029003700i136,36029003800i1560,27
36029003700i3430,36029003700i2953,27
36029004001i501,36029004001i515,27
36029005201i800,36029005201i964,27
36029006100i4529,36029006100i3054,27
36029006302i1574,36029006302i1713,27
36029006701i90,36029015003i2060,27
36029006800i1290,36029005400i1246,27
36029007700i3446,36029007700i3492,27
36029007700i3467,36029007700i2613,27
36029007800i4171,36029007800i854,27
36029007901i511,36029007600i1519,27
36029007902i2494,36029007700i3067,27
36029007902i2525,36029007902i3459,27
36029007902i3586,36029007902i3548,27
36029008003i4751,36029008300i558,27
36029008300i766,36029008300i842,27
36029008300i902,36029008300i1897,27
36029008300i1897,36029008300i1170,27
36029008600i2855,36029008800i2535,27
36029008900i1304,36029008900i2248,27
36029008900i2248,36029008900i1741,27
36029009113i4696,36029009501i3634,27
36029009114i195,36029013102i3111,27
36029009114i3530,36029009114i482,27
36029009116i4807,36029008800i2535,27
36029009900i2977,36029009600i3200,27
36029010201i82,36029009800i1609,27
36029010201i1873,36029001500i1316,27
36029010201i2652,36029010201i1873,27
36029010600i368,36029010201i1873,27
36029010808i2851,36029010808i3106,27
36029010901i281,36029010901i2063,27
36029011400i512,36029016200i520,27
36029011400i2193,36029011400i512,27
36029013002i2569,36029013002i2326,27
36029013102i5180,36029013102i5181,27
36029013201i4472,36029013201i5539,27
36029013201i5539,36029007902i2525,27
36029013400i5581,36029009702i2506,27
36029014102i1074,36029014102i5004,27
36029014102i1640,36029014102i5004,27
36029014206i4144,36029015700i1584,27
36029014207i1694,36029014501i715,27
36029014400i1827,36029014400i2906,27
36029014501i1197,36029014501i1190,27
36029014604i2657,36029014604i5830,27
36029014604i5830,36029014603i1757,27
36029014604i7215,36029014603i1757,27
36029014903i3258,36029016200i520,27
36029015202i1224,36029015202i1836,27
36029015202i1401,36029015202i1940,27
36029015202i1409,36029015202i1274,27
36029015202i1751,36029015202i1766,27
36029015202i1941,36029015202i1940,27
36029015202i4227,36029015202i4495,27
36029015301i460,36029015301i62,27
36029015301i3676,36029015301i3693,27
36029015301i3693,36029015301i3674,27
36029015302i1350,36029015302i1067,27
36029015302i1464,36029015302i1829,27
36029015302i1829,36029015301i62,27
36029015302i2379,36029015302i2396,27
36029015401i971,36029015401i2075,27
36029015700i1584,36029015700i2787,27
36029015700i2797,36029015700i2787,27
36029015700i3297,36029015700i2797,27
36029000800i1400,36029000800i2335,28
36029004001i2356,36029010102i1580,28
36029004300i3275,36029004001i3572,28
36029004401i1012,36029007902i5022,28
36029005400i1521,36029005400i3676,28
36029005400i3676,36029005400i1246,28
36029006302i2471,36029006302i1574,28
36029006800i1334,36029006800i1290,28
36029007700i3213,36029007700i3140,28
36029007700i3384,36029007700i3467,28
36029007902i1849,36029007902i3586,28
36029007902i3531,36029007902i3548,28
36029007905i1519,36029014701i2899,28
36029008300i873,36029008300i1897,28
36029008300i1226,36029008300i1170,28
36029008300i2063,36029008300i766,28
36029008900i2263,36029008900i1304,28
36029009007i2274,36029014604i7215,28
36029009008i2527,36029009401i5522,28
36029009010i2614,36029008003i4751,28
36029009114i761,36029009114i482,28
36029009114i940,36029009114i3530,28
36029009114i3672,36029009114i3530,28
36029009702i1994,36029007902i1339,28
36029009702i2105,36029009702i3707,28
36029009702i3730,36029009702i1994,28
36029010808i4018,36029010808i2851,28
36029010901i645,36029010901i2051,28
36029010901i2051,36029010901i2050,28
36029011000i244,36029010901i1066,28
36029011200i3918,36029011200i2312,28
36029011300i1229,36029015301i4371,28
36029012001i3225,36029007800i4171,28
36029012400i344,36029014208i2845,28
36029012901i2596,36029013002i2569,28
36029013102i3160,36029013102i5170,28
36029013102i5170,36029013102i5180,28
36029013102i5214,36029013102i8020,28
36029013102i7013,36029013400i879,28
36029013102i8020,36029013102i5180,28
36029013102i8061,36029013102i5181,28
36029013400i6080,36029013400i5581,28
36029013501i5315,36029009010i2614,28
36029013800i405,36029013201i4472,28
36029014102i2502,36029007902i3459,28
36029014206i3935,36029014206i4144,28
36029014400i1967,36029014400i1827,28
36029014400i3617,36029014400i4048,28
36029014501i1192,36029014501i1197,28
36029014603i1055,36029014603i1125,28
36029014603i1761,36029014603i1753,28
36029015201i1148,36029015202i1751,28
36029015201i1984,36029015201i2703,28
36029015201i2713,36029015201i2703,28
36029015202i1280,36029015202i1401,28
36029015202i1352,36029015202i1224,28
36029015202i1697,36029013502i392,28
36029015202i1864,36029015202i1836,28
36029015301i1919,36029015301i3676,28
36029015301i4244,36029015301i460,28
36029015401i723,36029015401i736,28
36029015401i2076,36029015401i2082,28
36029015401i2392,36029015401i723,28
36029015700i328,36029015700i2797,28
36029000200i3348,36029000200i3347,29
36029000800i2317,36029000800i2353,29
36029001500i324,36029003700i136,29
36029003600i1008,36029003600i2094,29
36029003600i2094,36029004401i1012,29
36029004402i2486,36029004402i935,29
36029004900i624,36029006100i3057,29
36029005201i896,36029005201i906,29
36029005201i906,36029005201i800,29
36029007302i6168,36029008300i2063,29
36029007800i5120,36029007800i4171,29
36029007902i3539,36029007902i3531,29
36029007902i3578,36029007902i3586,29
36029007902i5986,36029007902i1339,29
36029008300i752,36029008300i766,29
36029008300i818,36029008300i752,29
36029008300i856,36029008300i872,29
36029008300i971,36029008300i969,29
36029008400i1071,36029008400i2204,29
36029009007i2264,36029009007i2274,29
36029009104i2968,36029013800i405,29
36029009112i1352,36029001000i294,29
36029009113i1087,36029009114i195,29
36029009113i3526,36029008300i558,29
36029009114i3113,36029009114i3672,29
36029009200i3966,36029008300i2513,29
36029009600i620,36029007905i1519,29
36029009702i2472,36029007700i3213,29
36029009900i2976,36029009900i2977,29
36029010103i3612,36029012901i2596,29
36029010600i267,36029010600i368,29
36029010808i2553,36029010808i4018,29
36029010808i3963,36029010808i4037,29
36029010808i4037,36029010808i4018,29
36029010901i427,36029010901i645,29
36029010901i703,36029010901i1059,29
36029010901i1059,36029010901i1066,29
36029010901i2075,36029010901i2051,29
36029010901i2089,36029010901i2075,29
36029011200i3844,36029011200i3918,29
36029011300i4692,36029010807i4215,29
36029013002i1265,36029000800i4373,29
36029013102i2920,36029013102i5176,29
36029013102i3091,36029013102i5214,29
36029013102i5146,36029013102i5170,29
36029013102i5179,36029013102i3111,29
36029013102i5199,36029013102i5179,29
36029013102i5786,36029013102i5199,29
36029013201i1103,36029013102i5179,29
36029013201i5589,36029013102i5786,29
36029013201i5925,36029013201i5589,29
36029013502i5216,36029015201i1120,29
36029013502i5229,36029013502i5854,29
36029013502i5854,36029013502i5216,29
36029014101i2344,36029008600i3219,29
36029014209i983,36029014209i3897,29
36029014601i4098,36029014603i3947,29
36029014604i604,36029014604i7215,29
36029014604i2131,36029014604i2994,29
36029014604i2787,36029014604i5830,29
36029014702i1622,36029014501i2989,29
36029014702i2108,36029014702i1622,29
36029014801i2120,36029014801i2143,29
36029015201i725,36029015201i1118,29
36029015201i765,36029015201i1148,29
36029015201i1097,36029015201i691,29
36029015201i1118,36029015201i1097,29
36029015201i1190,36029015201i1964,29
36029015201i1196,36029015201i1984,29
36029015201i2694,36029015201i2703,29
36029015201i2707,36029015201i2713,29
36029015202i1831,36029015202i1836,29
36029015202i1866,36029015202i1864,29
36029015202i2442,36029015202i2430,29
36029015202i4876,36029015202i1280,29
36029015301i926,36029015401i736,29
36029015301i3716,36029015301i3693,29
36029015401i2493,36029015401i723,29
36029015504i539,36029007905i1519,29
36029015700i321,36029015700i328,29
36029016900i856,36029015700i1584,29
